# Base de datos: dbSUPER
# Descripción: Super-enhancers con coordenadas, líneas celulares y genes diana
# Fuente: https://asntech.org/dbsuper/
# Dimensiones totales: 69205 filas, 7 columnas
# Filas en esta muestra: 100
# Estrategia: A_head (canónica del TFM)

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

chrom	 start	 stop	 se_id	 gene_symbol	 cell_name	 rank
chr1	120485363	120615071	SE_00001	NOTCH2	Adipose Nuclei	1
chr13	110838836	111112228	SE_00002	COL4A2	Adipose Nuclei	2
chr1	145206326	145293008	SE_00003	NOTCH2NL	Adipose Nuclei	3
chr5	158117077	158371526	SE_00004	EBF1	Adipose Nuclei	4
chr2	218548183	218895526	SE_00005	TNS1	Adipose Nuclei	5
chr2	54586565	54904699	SE_00006	SPTBN1	Adipose Nuclei	6
chr6	112420456	112652968	SE_00007	LAMA4	Adipose Nuclei	7
chr3	12327760	12522419	SE_00008	PPARG	Adipose Nuclei	8
chr1	12455848	12698932	SE_00009	DHRS3	Adipose Nuclei	9
chr8	30239218	30455499	SE_00010	RBPMS	Adipose Nuclei	10
chr11	111468184	111670113	SE_00011	PPP2R1B	Adipose Nuclei	11
chr10	82143428	82297600	SE_00012	TSPAN14	Adipose Nuclei	12
chr2	145147464	145289272	SE_00013	ZEB2	Adipose Nuclei	13
chr1	92148226	92358240	SE_00014	TGFBR3	Adipose Nuclei	14
chr10	114708122	114899787	SE_00015	TCF7L2	Adipose Nuclei	15
chr10	97067610	97208276	SE_00016	PDLIM1	Adipose Nuclei	16
chr9	14132520	14325750	SE_00017	NFIB	Adipose Nuclei	17
chr7	116124962	116229755	SE_00018	CAV1	Adipose Nuclei	18
chr22	46436313	46491627	SE_00019	PRR34	Adipose Nuclei	19
chr15	62681468	62918670	SE_00020	MGC15885	Adipose Nuclei	20
chr9	124030416	124136617	SE_00021	GSN	Adipose Nuclei	21
chr9	112747903	112917636	SE_00022	AKAP2	Adipose Nuclei	22
chr5	158457028	158534580	SE_00023	EBF1	Adipose Nuclei	23
chr19	13106663	13216504	SE_00024	LYL1	Adipose Nuclei	24
chr3	127414600	127543388	SE_00025	MGLL	Adipose Nuclei	25
chr7	80212197	80311799	SE_00026	CD36	Adipose Nuclei	26
chr1	61541623	61748432	SE_00027	NFIA	Adipose Nuclei	27
chr11	65250988	65277615	SE_00028	MALAT1	Adipose Nuclei	28
chr8	62494289	62637126	SE_00029	ASPH	Adipose Nuclei	29
chr2	1631156	1749787	SE_00030	PXDN	Adipose Nuclei	30
chr3	134026936	134116287	SE_00031	AMOTL2	Adipose Nuclei	31
chr1	22216950	22289038	SE_00032	HSPG2	Adipose Nuclei	32
chr1	162581349	162728101	SE_00033	DDR2	Adipose Nuclei	33
chr16	20860093	20943369	SE_00034	LYRM1	Adipose Nuclei	34
chr15	67335503	67451448	SE_00035	SMAD3	Adipose Nuclei	35
chr15	78282987	78379012	SE_00036	TBC1D2B	Adipose Nuclei	36
chr5	131744052	131837440	SE_00037	IRF1	Adipose Nuclei	37
chr1	182987857	183119248	SE_00038	LAMC1	Adipose Nuclei	38
chr2	36578955	36718688	SE_00039	CRIM1	Adipose Nuclei	39
chr1	201664131	201763021	SE_00040	NAV1	Adipose Nuclei	40
chr12	45582850	45752605	SE_00041	ANO6	Adipose Nuclei	41
chr2	165547251	165708317	SE_00042	COBLL1	Adipose Nuclei	42
chr6	111857372	111951393	SE_00043	TRAF3IP2 	Adipose Nuclei	43
chr4	87919434	88044361	SE_00044	AFF1	Adipose Nuclei	44
chr1	8402564	8538135	SE_00045	RERE	Adipose Nuclei	45
chr1	100100766	100159785	SE_00046	PALMD	Adipose Nuclei	46
chr5	142656014	142786266	SE_00047	NR3C1	Adipose Nuclei	47
chr6	53100514	53226188	SE_00048	ELOVL5	Adipose Nuclei	48
chr3	171756467	171898840	SE_00049	FNDC3B	Adipose Nuclei	49
chr14	74162537	74262829	SE_00050	ELMSAN1	Adipose Nuclei	50
chr11	101979534	102114317	SE_00051	YAP1	Adipose Nuclei	51
chr14	53310705	53428441	SE_00052	FERMT2	Adipose Nuclei	52
chr10	4981129	5069064	SE_00053	AKR1C1	Adipose Nuclei	53
chr13	41119761	41243259	SE_00054	FOXO1	Adipose Nuclei	54
chr7	75920207	75994738	SE_00055	HSPB1	Adipose Nuclei	55
chr2	47166289	47314830	SE_00056	MCFD2	Adipose Nuclei	56
chr9	676861	753783	SE_00057	KANK1	Adipose Nuclei	57
chr3	64129261	64254882	SE_00058	PRICKLE2	Adipose Nuclei	58
chr3	66414139	66556837	SE_00059	LRIG1	Adipose Nuclei	59
chr2	201979028	202029932	SE_00060	CFLAR	Adipose Nuclei	60
chr11	65182163	65214870	SE_00061	NEAT1	Adipose Nuclei	61
chr5	42421467	42633445	SE_00062	GHR	Adipose Nuclei	62
chr3	42053210	42165022	SE_00063	TRAK1	Adipose Nuclei	63
chr1	204374155	204477633	SE_00064	PPP1R15B	Adipose Nuclei	64
chr4	185665984	185749263	SE_00065	ACSL1	Adipose Nuclei	65
chr7	137554800	137687567	SE_00066	CREB3L2	Adipose Nuclei	66
chr1	203592356	203677659	SE_00067	ATP2B4	Adipose Nuclei	67
chr7	104613167	104688337	SE_00068	KMT2E-AS1	Adipose Nuclei	68
chr10	80826091	80955927	SE_00069	ZMIZ1-AS1	Adipose Nuclei	69
chr12	13287838	13378153	SE_00070	EMP1	Adipose Nuclei	70
chr10	63798002	63858499	SE_00071	ARID5B	Adipose Nuclei	71
chr15	66992263	67099234	SE_00072	SMAD6	Adipose Nuclei	72
chr12	6419252	6482702	SE_00073	TNFRSF1A	Adipose Nuclei	73
chr3	16410887	16571067	SE_00074	RFTN1	Adipose Nuclei	74
chr11	75470367	75570895	SE_00075	UVRAG	Adipose Nuclei	75
chr3	30638188	30736557	SE_00076	TGFBR2	Adipose Nuclei	76
chr5	31911610	32078119	SE_00077	MIR4279	Adipose Nuclei	77
chr21	35094425	35216685	SE_00078	ATP5O	Adipose Nuclei	78
chr3	15283620	15404219	SE_00079	SH3BP5	Adipose Nuclei	79
chr11	118471872	118531344	SE_00080	PHLDB1	Adipose Nuclei	80
chr2	64010624	64126304	SE_00081	UGP2	Adipose Nuclei	81
chr10	26726102	26854803	SE_00082	APBB1IP	Adipose Nuclei	82
chr10	113890801	114005230	SE_00083	GPAM	Adipose Nuclei	83
chr15	57842551	58002339	SE_00084	GCOM1	Adipose Nuclei	84
chr5	172158629	172235472	SE_00085	DUSP1	Adipose Nuclei	85
chr12	109535608	109627128	SE_00086	ACACB	Adipose Nuclei	86
chr14	59707337	59839553	SE_00087	DAAM1	Adipose Nuclei	87
chr18	60896801	61014593	SE_00088	BCL2	Adipose Nuclei	88
chr1	144884336	144945669	SE_00089	PDE4DIP	Adipose Nuclei	89
chr3	151975890	152053203	SE_00090	MBNL1	Adipose Nuclei	90
chr17	27965032	28092446	SE_00091	TP53I13	Adipose Nuclei	91
chr5	151038273	151082892	SE_00092	SPARC	Adipose Nuclei	92
chr3	111569662	111692339	SE_00093	PHLDB2	Adipose Nuclei	93
chr13	97862946	97961565	SE_00094	MBNL2	Adipose Nuclei	94
chr20	45932249	45990848	SE_00095	LOC100131496	Adipose Nuclei	95
chr1	156065452	156101121	SE_00096	LMNA	Adipose Nuclei	96
chr17	29875640	29928722	SE_00097	MIR365B	Adipose Nuclei	97
chr15	60637370	60720031	SE_00098	ANXA2	Adipose Nuclei	98
chr6	7106146	7181252	SE_00099	RREB1	Adipose Nuclei	99
chr12	57519878	57565970	SE_00100	LRP1	Adipose Nuclei	100
