file,experiment,db,model_variant,variant,run,CQ01_sat,CQ02_sat,CQ03_sat,CQ04_sat,CQ05_sat,CQ06_sat,CQ07_sat,CQ08_sat,CQ09_sat,CQ10_sat,CQ11_sat,CQ12_sat,CQ13_sat,CQ14_sat,CQ15_sat,n_satisfied,coverage
E1/FANTOM5/gpt-4o_A_head/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_A_head,postprocessed,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.133
E1/FANTOM5/gpt-4o_B_random/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_B_random,postprocessed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.067
E1/FANTOM5/gpt-4o_C_stratified/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_C_stratified,postprocessed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.067
E1/FANTOM5/gpt-4o_D_diversity/postprocessed/ontology_run1.ttl,E1,FANTOM5,gpt-4o_D_diversity,postprocessed,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.133
E1/FANTOM5/llama3.1_8b_A_head/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_A_head,postprocessed,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2
E1/FANTOM5/llama3.1_8b_B_random/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_B_random,postprocessed,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2
E1/FANTOM5/llama3.1_8b_C_stratified/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_C_stratified,postprocessed,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.133
E1/FANTOM5/llama3.1_8b_D_diversity/postprocessed/ontology_run1.ttl,E1,FANTOM5,llama3.1_8b_D_diversity,postprocessed,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2
E1/dbSUPER/gpt-4o_A_head/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_A_head,postprocessed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.067
E1/dbSUPER/gpt-4o_B_random/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_B_random,postprocessed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.067
E1/dbSUPER/gpt-4o_C_stratified/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_C_stratified,postprocessed,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.133
E1/dbSUPER/gpt-4o_D_diversity/postprocessed/ontology_run1.ttl,E1,dbSUPER,gpt-4o_D_diversity,postprocessed,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.133
E1/dbSUPER/llama3.1_8b_A_head/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_A_head,postprocessed,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.133
E1/dbSUPER/llama3.1_8b_B_random/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_B_random,postprocessed,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0.333
E1/dbSUPER/llama3.1_8b_C_stratified/postprocessed/ontology_run1.ttl,E1,dbSUPER,llama3.1_8b_C_stratified,postprocessed,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0.267
