file,src,size_bytes,load_ok,load_error,n_literals_sanitized,n_classes,n_obj_props,n_data_props,n_annotations,WMCOnto,NOMOnto,DITM,NACOnto,CBOnto,TMOnto,LCOMOnto,ANOnto,INROnto,RROnto,AROnto,consistent,n_unsatisfiable,n_inferred_classes,reasoner_seconds,reasoner_error,score_structural,score_modularity,score_reusability,score_operability,score_reliability,oquare_global,experiment,db,model,variant,run,eval_seconds
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/postprocessed/ontology_run1.ttl,2812,1,,0,4,3,3,0,1.5,1.5,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.5,True,0,4,0.42,,5.0,4.0,2.33,4.0,5,4.07,E1,FANTOM5,gpt-4o,postprocessed,1,0.84
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/postprocessed/ontology_run2.ttl,2688,1,,0,2,1,7,0,4.0,4.0,1,1.0,0.5,0.0,2,0.0,0.0,0.5,0.125,True,0,2,0.26,,5.0,4.5,2.33,2.5,5,3.87,E1,FANTOM5,gpt-4o,postprocessed,2,0.26
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,3904,1,,0,5,3,8,0,2.2,2.2,1,1.0,0.8,0.0,5,0.0,0.0,0.6,0.2727272727272727,True,0,5,0.27,,5.0,3.5,2.33,3.5,5,3.87,E1,FANTOM5,gpt-4o,postprocessed,3,0.27
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,3787,1,,0,5,4,6,0,2.0,2.0,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.4,True,0,5,0.27,,5.0,3.5,2.33,3.5,5,3.87,E1,dbSUPER,gpt-4o,postprocessed,1,0.27
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/postprocessed/ontology_run2.ttl,3036,1,,0,5,3,3,0,1.2,1.2,1,1.0,1.0,0.0,5,0.0,0.0,0.6,0.5,True,0,5,0.27,,5.0,3.5,2.33,4.0,5,3.97,E1,dbSUPER,gpt-4o,postprocessed,2,0.28
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/postprocessed/ontology_run3.ttl,4203,1,,0,5,3,6,0,1.8,1.8,1,1.0,0.8,0.0,5,0.0,0.0,0.6,0.3333333333333333,True,0,5,0.26,,5.0,3.5,2.33,3.5,5,3.87,E1,dbSUPER,gpt-4o,postprocessed,3,0.26
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/postprocessed/ontology_run1.ttl,3648,1,,0,4,2,6,0,2.0,2.0,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.25,True,0,4,0.27,,5.0,4.0,2.33,3.0,5,3.87,E1,HACER,gpt-4o,postprocessed,1,0.28
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/postprocessed/ontology_run2.ttl,2760,1,,0,4,2,6,0,2.0,2.0,1,1.0,0.0,0.0,4,0.0,0.0,0.5,0.25,True,0,4,0.27,,5.0,4.0,2.33,3.0,5,3.87,E1,HACER,gpt-4o,postprocessed,2,0.27
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/postprocessed/ontology_run3.ttl,2768,1,,0,2,1,7,0,4.0,4.0,1,1.0,0.5,0.0,2,0.0,0.0,0.5,0.125,True,0,2,0.27,,5.0,4.5,2.33,2.5,5,3.87,E1,HACER,gpt-4o,postprocessed,3,0.28
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run1.ttl,2323,1,,0,4,2,3,0,1.25,1.25,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.4,True,0,4,0.25,,5.0,4.0,2.33,3.0,5,3.87,E1,DiseaseEnhancer,gpt-4o,postprocessed,1,0.25
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run2.ttl,2378,1,,0,4,2,3,0,1.25,1.25,1,1.0,0.75,0.0,4,0.0,0.0,0.5,0.4,True,0,4,0.27,,5.0,4.0,2.33,3.0,5,3.87,E1,DiseaseEnhancer,gpt-4o,postprocessed,2,0.28
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run3.ttl,4313,1,,0,5,4,5,0,1.8,1.8,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.4444444444444444,True,0,5,0.26,,5.0,3.5,2.33,4.0,5,3.97,E1,DiseaseEnhancer,gpt-4o,postprocessed,3,0.26
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run1.ttl,3767,1,,0,6,3,8,0,1.8333333333333333,1.8333333333333333,1,1.0,0.6666666666666666,0.0,6,0.0,0.0,0.5,0.2727272727272727,True,0,6,0.27,,5.0,3.5,2.33,3.0,5,3.77,E2,FANTOM5,gpt-4o,postprocessed,1,0.27
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run2.ttl,3795,1,,0,6,3,8,0,1.8333333333333333,1.8333333333333333,1,1.0,0.6666666666666666,0.0,6,0.0,0.0,0.5,0.2727272727272727,True,0,6,0.26,,5.0,3.5,2.33,3.0,5,3.77,E2,FANTOM5,gpt-4o,postprocessed,2,0.26
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,3160,1,,0,4,3,5,0,2.0,2.0,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.375,True,0,4,0.27,,5.0,4.0,2.33,3.5,5,3.97,E2,FANTOM5,gpt-4o,postprocessed,3,0.28
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,3325,1,,0,5,4,5,0,1.8,1.8,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.4444444444444444,True,0,5,0.27,,5.0,3.5,2.33,4.0,5,3.97,E2,dbSUPER,gpt-4o,postprocessed,1,0.27
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run2.ttl,3993,1,,0,7,3,8,0,1.5714285714285714,1.5714285714285714,1,1.0,0.5714285714285714,0.0,7,0.0,0.0,0.42857142857142855,0.2727272727272727,True,0,7,0.26,,5.0,3.5,2.33,3.0,5,3.77,E2,dbSUPER,gpt-4o,postprocessed,2,0.26
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/postprocessed/ontology_run3.ttl,4383,1,,0,4,2,9,0,2.75,2.75,1,1.0,0.5,0.0,4,0.0,0.0,0.5,0.18181818181818182,True,0,4,0.27,,5.0,4.0,2.33,2.5,5,3.77,E2,dbSUPER,gpt-4o,postprocessed,3,0.28
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/postprocessed/ontology_run1.ttl,3313,1,,0,5,4,5,0,1.8,1.8,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.4444444444444444,True,0,5,0.27,,5.0,3.5,2.33,4.0,5,3.97,E2,HACER,gpt-4o,postprocessed,1,0.28
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/postprocessed/ontology_run2.ttl,3756,1,,0,5,3,4,0,1.4,1.4,1,1.0,0.8,0.0,5,0.0,0.0,0.6,0.42857142857142855,True,0,5,0.27,,5.0,3.5,2.33,4.0,5,3.97,E2,HACER,gpt-4o,postprocessed,2,0.28
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/postprocessed/ontology_run3.ttl,3284,1,,0,5,4,5,0,1.8,1.8,1,1.0,1.0,0.0,5,0.0,0.0,0.8,0.4444444444444444,True,0,5,0.26,,5.0,3.5,2.33,4.0,5,3.97,E2,HACER,gpt-4o,postprocessed,3,0.26
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run1.ttl,3216,1,,0,4,3,3,0,1.5,1.5,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.5,True,0,4,0.26,,5.0,4.0,2.33,4.0,5,4.07,E2,DiseaseEnhancer,gpt-4o,postprocessed,1,0.26
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run2.ttl,2958,1,,0,4,3,4,0,1.75,1.75,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.42857142857142855,True,0,4,0.26,,5.0,4.0,2.33,4.0,5,4.07,E2,DiseaseEnhancer,gpt-4o,postprocessed,2,0.26
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run3.ttl,2703,1,,0,4,3,4,0,1.75,1.75,1,1.0,1.0,0.0,4,0.0,0.0,0.75,0.42857142857142855,True,0,4,0.26,,5.0,4.0,2.33,4.0,5,4.07,E2,DiseaseEnhancer,gpt-4o,postprocessed,3,0.27
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/FANTOM5/gpt-4o/postprocessed/ontology_run1.ttl,3325,1,,0,0,0,0,0,,,,,,,,,,,,True,0,0,0.2,,0,0,0,0,5,1.0,E3,FANTOM5,gpt-4o,postprocessed,1,0.21
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/FANTOM5/gpt-4o/postprocessed/ontology_run2.ttl,2176,1,,0,0,0,0,0,,,,,,,,,,,,True,0,0,0.2,,0,0,0,0,5,1.0,E3,FANTOM5,gpt-4o,postprocessed,2,0.2
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/FANTOM5/gpt-4o/postprocessed/ontology_run3.ttl,3259,1,,0,0,0,0,0,,,,,,,,,,,,True,0,0,0.2,,0,0,0,0,5,1.0,E3,FANTOM5,gpt-4o,postprocessed,3,0.2
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/dbSUPER/gpt-4o/postprocessed/ontology_run1.ttl,2712,1,,0,2,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,True,0,2,0.22,,5.0,4.5,2.33,1.0,5,3.57,E3,dbSUPER,gpt-4o,postprocessed,1,0.22
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/dbSUPER/gpt-4o/postprocessed/ontology_run2.ttl,2229,1,,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,True,0,1,0.2,,5.0,5.0,2.33,1.0,5,3.67,E3,dbSUPER,gpt-4o,postprocessed,2,0.2
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/dbSUPER/gpt-4o/postprocessed/ontology_run3.ttl,2122,1,,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,True,0,1,0.2,,5.0,5.0,2.33,1.0,5,3.67,E3,dbSUPER,gpt-4o,postprocessed,3,0.2
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/HACER/gpt-4o/postprocessed/ontology_run1.ttl,3093,1,,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,True,0,1,0.22,,5.0,5.0,2.33,1.0,5,3.67,E3,HACER,gpt-4o,postprocessed,1,0.22
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/HACER/gpt-4o/postprocessed/ontology_run2.ttl,3636,1,,0,2,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,True,0,2,0.22,,5.0,4.5,2.33,1.0,5,3.57,E3,HACER,gpt-4o,postprocessed,2,0.23
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/HACER/gpt-4o/postprocessed/ontology_run3.ttl,4724,1,,0,3,0,0,0,0.0,0.0,1,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,True,0,3,0.23,,5.0,4.0,2.33,1.0,5,3.47,E3,HACER,gpt-4o,postprocessed,3,0.23
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run1.ttl,3315,1,,0,4,0,0,0,0.0,0.0,1,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,True,0,4,0.22,,5.0,4.0,2.33,1.0,5,3.47,E3,DiseaseEnhancer,gpt-4o,postprocessed,1,0.23
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run2.ttl,3215,1,,0,7,0,0,0,0.0,0.0,2,1.1428571428571428,0.0,0.0,6,0.0,0.14285714285714285,0.0,0.0,True,0,7,0.21,,5.0,3.5,2.67,1.0,5,3.43,E3,DiseaseEnhancer,gpt-4o,postprocessed,2,0.21
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run3.ttl,3445,1,,0,7,0,0,0,0.0,0.0,2,1.2857142857142858,0.0,0.0,5,0.0,0.2857142857142857,0.0,0.0,True,0,7,0.21,,5.0,3.5,2.67,1.0,5,3.43,E3,DiseaseEnhancer,gpt-4o,postprocessed,3,0.21
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/FANTOM5/gpt-4o/ontology_run1.ttl,9277,1,,0,11,7,26,0,3.0,3.0,2,1.2727272727272727,0.7272727272727273,0.0,8,0.0,0.2727272727272727,0.6363636363636364,0.21212121212121213,True,0,11,0.27,,5.0,3.5,2.67,3.5,5,3.93,E4,FANTOM5,gpt-4o,raw,1,0.28
